metric_context,metric_name,higher_is_better,full_system,raw_deepseek_v4_flash,llm_only_multiagent_notebook_dataset
reference_similarity,alignscore_base,True,0.3986203670501709,0.3077789843082428,
reference_similarity,bertscore_f1,True,0.8516890406608582,0.8503757119178772,0.8317869305610657
reference_similarity,bleu,True,0.10713396577069385,0.13571385795307442,0.0362636519880437
reference_similarity,chrf,True,0.41657947836080633,0.3859633596081627,0.18351350347182457
reference_similarity,hhem_2_1_open_mean_support,True,0.2689737917512263,0.25042747240513563,
reference_similarity,hhem_2_1_open_unsupported_sentence_rate,False,0.7368421052631579,0.7692307692307693,
reference_similarity,meteor,True,0.2579959612150574,0.25340667098202563,0.11113554072329102
reference_similarity,rougeL,True,0.23112480739599384,0.32136105860113423,0.2340966921119593
source_grounded,alignscore_base,True,0.1908254772424698,0.18021351099014282,
source_grounded,hhem_2_1_open_mean_support,True,0.20646554153216512,0.16620834085803765,0.21999916607247932
source_grounded,hhem_2_1_open_unsupported_sentence_rate,False,0.7894736842105263,0.7692307692307693,0.7142857142857143
