metric_name,full_system,raw_generic_flash,task_aware_direct_flash
alignscore_base,0.6783712196350098,0.612100539021194,0.6355831424891949
hhem_2_1_open_mean_support,0.553033754588186,0.543720498966674,0.5856514857408519
hhem_2_1_open_min_sentence_support,0.5395625339448452,0.4665151043236256,0.5733144447021187
hhem_2_1_open_unsupported_sentence_rate,0.3503888888888889,0.34600000000000003,0.23333333333333336
