dataset_id,metric_name,full_system,raw_generic_flash,task_aware_direct_flash
dart,alignscore_base,0.9773763656616211,0.8436517119407654,0.8633338809013367
dart,hhem_2_1_open_mean_support,0.8766001224517822,0.768950366973877,0.825728690624237
dart,hhem_2_1_open_min_sentence_support,0.8766001224517822,0.768950366973877,0.825728690624237
dart,hhem_2_1_open_unsupported_sentence_rate,0.0,0.0,0.0
e2e_nlg,alignscore_base,0.9782351136207581,0.9665818572044372,0.978417694568634
e2e_nlg,hhem_2_1_open_mean_support,0.6732543587684632,0.7112267017364502,0.6888914227485656
e2e_nlg,hhem_2_1_open_min_sentence_support,0.6732543587684632,0.7112267017364502,0.6888914227485656
e2e_nlg,hhem_2_1_open_unsupported_sentence_rate,0.0,0.0,0.0
sportsett_basketball,alignscore_base,0.12845708131790162,0.19428147971630097,0.17842306792736054
sportsett_basketball,hhem_2_1_open_mean_support,0.06861853369086655,0.0936438919355472,0.05896199777579079
sportsett_basketball,hhem_2_1_open_min_sentence_support,0.009588013216853142,0.02384726479649544,0.008305380400270224
sportsett_basketball,hhem_2_1_open_unsupported_sentence_rate,0.9519444444444444,0.9333333333333332,0.9666666666666668
totto,alignscore_base,0.35086206197738645,0.4611927539110184,0.3284161977469921
totto,hhem_2_1_open_mean_support,0.44854291193187235,0.5373040182515979,0.6642936356365681
totto,hhem_2_1_open_min_sentence_support,0.44854291193187235,0.22530241310596466,0.6642936356365681
totto,hhem_2_1_open_unsupported_sentence_rate,0.6,0.39666666666666667,0.2
web_nlg,alignscore_base,0.9569254755973816,0.594794892333448,0.829324871301651
web_nlg,hhem_2_1_open_mean_support,0.6981528460979461,0.6074775159358978,0.6903816819190979
web_nlg,hhem_2_1_open_min_sentence_support,0.6898272633552551,0.6032487750053406,0.6793530941009521
web_nlg,hhem_2_1_open_unsupported_sentence_rate,0.2,0.4,0.0
